StateID,State Name,CountryID
1,Alabama,1
2,Alaska,1
3,Arizona,1
4,Arkansas,1
5,California,1
6,Colorado,1
7,Connecticut,1
8,Delaware,1
9,Florida,1
10,Georgia,1
11,Hawaii,1
12,Idaho,1
13,Illinois,1
14,Indiana,1
15,Iowa,1
16,Kansas,1
17,Kentucky,1
18,Louisiana,1
19,Maine,1
20,Maryland,1
21,Massachusetts,1
22,Michigan,1
23,Minnesota,1
24,Mississippi,1
25,Missouri,1
26,Montana,1
27,Nebraska,1
28,Nevada,1
29,New Hampshire,1
30,New Jersey,1
31,New Mexico,1
32,New York,1
33,North Carolina,1
34,North Dakota,1
35,Ohio,1
36,Oklahoma,1
37,Oregon,1
38,Pennsylvania,1
39,Rhode Island,1
40,South Carolina,1
41,South Dakota,1
42,Tennessee,1
43,Texas,1
44,Utah,1
45,Vermont,1
46,Virginia,1
47,Washington,1
48,West Virginia,1
49,Wisconsin,1
50,Wyoming,1
